Eatery_Id,Eatery_Name,City,Country_Code,Cuisines,Price_Range,Average_Cost_For_Two,Online_Delivery,Deliverying_Available,Table_Booking_Available,Aggregate_Rating,Rating_Text,Votes,Currency
308322,Hauz Khas Social,New Delhi,1,Continental,3,1600,1,0,1,4.3,Very Good,7931,Rs.
308322,Hauz Khas Social,New Delhi,1,American,3,1600,1,0,1,4.3,Very Good,7931,Rs.
308322,Hauz Khas Social,New Delhi,1,Asian,3,1600,1,0,1,4.3,Very Good,7931,Rs.
308322,Hauz Khas Social,New Delhi,1,North Indian,3,1600,1,0,1,4.3,Very Good,7931,Rs.
18037817,Qubitos - The Terrace Cafe,New Delhi,1,Thai,3,1500,0,0,1,4.5,Excellent,778,Rs.
18037817,Qubitos - The Terrace Cafe,New Delhi,1,European,3,1500,0,0,1,4.5,Excellent,778,Rs.
18037817,Qubitos - The Terrace Cafe,New Delhi,1,Mexican,3,1500,0,0,1,4.5,Excellent,778,Rs.
18037817,Qubitos - The Terrace Cafe,New Delhi,1,North Indian,3,1500,0,0,1,4.5,Excellent,778,Rs.
18037817,Qubitos - The Terrace Cafe,New Delhi,1,Chinese,3,1500,0,0,1,4.5,Excellent,778,Rs.
18037817,Qubitos - The Terrace Cafe,New Delhi,1,Cafe,3,1500,0,0,1,4.5,Excellent,778,Rs.
312345,The Hudson Cafe,New Delhi,1,Cafe,2,850,1,0,0,4.4,Very Good,1537,Rs.
312345,The Hudson Cafe,New Delhi,1,Italian,2,850,1,0,0,4.4,Very Good,1537,Rs.
312345,The Hudson Cafe,New Delhi,1,Continental,2,850,1,0,0,4.4,Very Good,1537,Rs.
312345,The Hudson Cafe,New Delhi,1,Chinese,2,850,1,0,0,4.4,Very Good,1537,Rs.
307490,Summer House Cafe,New Delhi,1,Italian,3,1850,0,0,1,4.1,Very Good,1823,Rs.
307490,Summer House Cafe,New Delhi,1,Continental,3,1850,0,0,1,4.1,Very Good,1823,Rs.
18241537,38 Barracks,New Delhi,1,North Indian,3,1600,0,0,1,4.4,Very Good,840,Rs.
18241537,38 Barracks,New Delhi,1,Italian,3,1600,0,0,1,4.4,Very Good,840,Rs.
18241537,38 Barracks,New Delhi,1,Asian,3,1600,0,0,1,4.4,Very Good,840,Rs.
18241537,38 Barracks,New Delhi,1,American,3,1600,0,0,1,4.4,Very Good,840,Rs.
18161577,Spezia Bistro,New Delhi,1,Cafe,2,900,1,0,1,4.6,Excellent,1071,Rs.
18161577,Spezia Bistro,New Delhi,1,Continental,2,900,1,0,1,4.6,Excellent,1071,Rs.
18161577,Spezia Bistro,New Delhi,1,Chinese,2,900,1,0,1,4.6,Excellent,1071,Rs.
18161577,Spezia Bistro,New Delhi,1,Italian,2,900,1,0,1,4.6,Excellent,1071,Rs.
303960,Manhattan Brewery & Bar Exchange,Gurgaon,1,Finger Food,4,2000,0,0,0,4.6,Excellent,2093,Rs.
303960,Manhattan Brewery & Bar Exchange,Gurgaon,1,American,4,2000,0,0,0,4.6,Excellent,2093,Rs.
303960,Manhattan Brewery & Bar Exchange,Gurgaon,1,Continental,4,2000,0,0,0,4.6,Excellent,2093,Rs.
303960,Manhattan Brewery & Bar Exchange,Gurgaon,1,North Indian,4,2000,0,0,0,4.6,Excellent,2093,Rs.
303960,Manhattan Brewery & Bar Exchange,Gurgaon,1,Italian,4,2000,0,0,0,4.6,Excellent,2093,Rs.
306134,The Wine Company,Gurgaon,1,Italian,4,2000,0,0,1,2.4,Poor,2412,Rs.
306134,The Wine Company,Gurgaon,1,European,4,2000,0,0,1,2.4,Poor,2412,Rs.
18233593,Farzi Cafe,New Delhi,1,Modern Indian,4,2200,0,0,0,4.4,Very Good,1942,Rs.
7528,Indian Grill Room,Gurgaon,1,North Indian,3,1800,1,0,1,4.5,Excellent,1262,Rs.
7528,Indian Grill Room,Gurgaon,1,Mughlai,3,1800,1,0,1,4.5,Excellent,1262,Rs.
18273624,Cafeteria & Co.,New Delhi,1,Continental,2,900,0,0,0,4.6,Excellent,1136,Rs.
18273624,Cafeteria & Co.,New Delhi,1,Mexican,2,900,0,0,0,4.6,Excellent,1136,Rs.
308022,Farzi Cafe,Gurgaon,1,Modern Indian,4,2200,0,0,0,4.3,Very Good,4385,Rs.
18157413,Molecule Air Bar,Gurgaon,1,Continental,3,1500,0,0,1,4.2,Very Good,1809,Rs.
18157413,Molecule Air Bar,Gurgaon,1,North Indian,3,1500,0,0,1,4.2,Very Good,1809,Rs.
18157413,Molecule Air Bar,Gurgaon,1,Italian,3,1500,0,0,1,4.2,Very Good,1809,Rs.
18157413,Molecule Air Bar,Gurgaon,1,Chinese,3,1500,0,0,1,4.2,Very Good,1809,Rs.
18279449,HotMess,New Delhi,1,North Indian,3,1900,1,0,1,4.3,Very Good,1129,Rs.
